  lam_obs  lam_ritz rel_flux 
617.22775 617.22775    407.0 
617.30960 617.30960     10.0 
624.31199 624.31198     89.0 
638.47170 638.47170     20.0 
639.92085 639.92063     18.0 
641.63070 641.63070     70.0 
648.30825 648.30825    120.0 
650.02151 650.02152      5.0 
663.82202 663.82203    151.0 
663.97403 663.97402     93.0 
664.36973 664.36973    269.0 
666.63587 666.63588    117.0 
667.72820 667.72810    100.0 
668.42924 668.42925    204.0 
675.28340 675.28340    150.0 
675.65522 675.65524     32.0 
680.85312 680.85313     15.0 
686.12689 686.12688    112.0 
686.35347 686.35347     35.0 
687.12890 687.12890    150.0 
688.66118 688.66121     26.0 
693.76640 693.76640     50.0 
696.54310 696.54300  10000.0 
699.01220 699.01125      5.0 
703.02510 703.02510    150.0 
706.72180 706.72170  10000.0 
707.70240 707.70234      5.0 
714.70420 714.70410   1000.0 
720.69800 720.69800     70.0 
723.35341 723.35358     23.0 
727.29360 727.29350   2000.0 
735.83380 735.83442      2.0 
738.04229 738.04229     44.0 
738.39800 738.39800  10000.0 
750.38690 750.38680  20000.0 
751.46520 751.46510  15000.0 
758.93152 758.93149     72.0 
763.51060 763.51050  25000.0 
772.37610 772.37600  15000.0 
772.42070 772.42070  10000.0 
789.10750 789.10750     10.0 
794.81760 794.81760  20000.0 
800.61570 800.61560  20000.0 
801.47860 801.47850  25000.0 
801.75280 801.75279     19.0 
805.33080 805.33080      7.0 
810.36930 810.36920  20000.0 
811.53110 811.53110  35000.0 
826.45220 826.45210  10000.0 
840.82100 840.82090  15000.0 
842.46480 842.46470  20000.0 
852.14420 852.14410  15000.0 
860.57760 860.57760      7.0 
866.79440 866.79430   4500.0 
892.60740 892.60757      3.0 
912.29670 912.29670  35000.0 
919.46380 919.46380    550.0 
922.44990 922.44980  15000.0 
929.15310 929.15320    400.0 
935.42200 935.42180   1600.0 
965.77860 965.77860  25000.0 
978.45030 978.45020   4500.0 
